id,brand,name,gender,price,currency,availability,sku,description,url,image_url
1,Canada Goose,Canada Goose Arctic Disc Adjustable Cap,Unknown,225,USD,https://schema.org/InStock,5450M-698,"The Canada Goose Arctic Disc adjustable cap boasts the ever-popular New Era 9TWENTY silhouette. The Canada Goose Arctic Disc hat is a certified fashion accessory featuring a premium adjustable leather strap in the back and a bold brand logo across the crown. It’s also ideal for outdoor activities where sun protection is necessary, such as hiking, camping, and kayaking. Choose between white, red, navy, silver ore, and black. Order your Canada Goose Arctic Disc adjustable cap today from us at Escape Outdoors. Features New Era 9TWENTY silhouette Adjustable leather strap at the back Breathable sweatband for added comfort Embroidered Canada Goose logo at front and mini label at side",https://www.escapeoutdoors.com/canada-goose-arctic-disc-adjustable-cap/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4492/33076/Canada-Goose-Arctic-Disc-Adjustable-Cap-Silver-Ore__18081.1738872897.png?c=1
2,Canada Goose,Canada Goose Men's Garson Vest Black Label CR,Men,595,USD,https://schema.org/InStock,2081MB-811-S,"Take on unpredictable weather conditions with a classic, quilt-through vest that offers enduring warmth where it's needed most. Crafted with a protective, hi-low hem and a leather-trimmed standing collar, it shields against high winds. Wear it on its own or layered under a softshell for premium comfort.FITClassicLENGTHHip LengthORIGINMade in CanadaDISCBlack Tricot lined chin guard Storm flap over center front zipper with snap buttons Cut longer in the back Two exterior pockets: handwarmer pockets with hidden snap closures One interior pocket: zippered security pocket FILL625 Fill Power Responsibly Sourced DownCAREDo Not Wash. Do Not Bleach. Do Not Tumble Dry. Do Not Iron. Dry Clean OnlyRECYCLED ORGANIC ARCTIC TECH®Extreme ConditionsDesigned to protect you in nature's most extreme conditions and cold climates, Recycled Organic Arctic Tech® is a heritage-inspired textile, reinvented with our HUMANATURE purpose in mind. Crafted from a blend of 85% Recycled Polyester and 15% Organic Cotton, the fabric is specifically formulated to maximize performance while minimizing environmental impact. Containing cotton, a natural fibre, the fabric will develop a patina and build character over time. Dry to the touch, this durable fabric with a water-repellent finish will keep you protected wherever adventure takes you.THERMAL EXPERIENCE INDEX™Whether you're working up a sweat hiking trails, embarking on an urban adventure, or exploring the coldest places on Earth, we've developed the Thermal Experience Index (TEI) to help you find the right Canada Goose product for your body, your activities, and lifestyle.TEI1LIGHTWEIGHT5°C / -5°C41°F / 23°FLightweight for active pursuits",https://www.escapeoutdoors.com/canada-goose-men-s-garson-vest-black-label-cr/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/5306/37610/CG_007_306fa284-f965-45cd-966e-2cde072200a1__03595.1738914044.jpg?c=1
3,Canada Goose,Canada Goose Men's Huron Men's Hoody - Updated,Men,375,USD,https://schema.org/InStock,7403M-9432-S,"Designed for all day comfort and softness, the medium weight Huron Hoody is an excellent layering piece for year-round warmth. Made with 100% Organic Cotton, selected by our designers for reduced water consumption and overall footprint, supporting our goal of keeping the planet cold and the people on it warm.Features Medium weight hoody crafted from Cotton for comfort and breathability Adjustable hood with exterior drawcords for adaptable fit Rib-knit hem and cuffs provide tailored fit, added comfort and shape retention 1 exterior pocket: kangaroo pocket",https://www.escapeoutdoors.com/canada-goose-men-s-huron-men-s-hoody-updated/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4622/33821/7403M-149-Tan-Heather__67062.1738876832.png?c=1
4,Canada Goose,Canada Goose Men's Langford Parka Black Label - Updated,Men,1475,USD,https://schema.org/OutOfStock,2052MB-9061-XS,"This stylish urban piece is similar to the Chateau and Banff parkas, but is slightly longer for greater leg protection. With a storm flap over the centre front zipper and two interior pockets, the Langford offers clean lines and a modern look - all in an uncompromisingly protective parka. Customize your parka and extend the coverage of your hood with a variety of our interchangeable Hood Trim accessories.ORIGINMade in CanadaDISCBlackHOOD TRIMNo Trim Features Interior waist drawcord to customize the fit and retain warmth Non-removable hood is adjustable two-ways Removable fur ruff for superior protection Exterior pockets: 2 lower pockets secured with Velcro® flaps + 2 handwarmer pockets. Canada Goose wordmark on lower left pocket Interior pockets: 1 security pocket with zipper closure on wearers left and 1 lower drop-in pocket on wearers right Recessed rib-knit cuffs add warmth and comfort Adjustable waist drawcords to cut the airflow and trap heat towards the body Black disc on wearers left sleeve Brushed tricot chin guard 2-way zipper Storm flap behind center front zipper",https://www.escapeoutdoors.com/canada-goose-men-s-langford-parka-black-label-updated/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4681/48673/2052MB-9432__88016.1765240984.png?c=1
5,Canada Goose,Canada Goose Men's Lodge Hoody Black Label - Updated,Men,875,USD,https://schema.org/OutOfStock,5078MB-811-XS,"Warm and windproof but compressing to almost nothing, the Lodge Hoody is ideal for backcountry activities and lightweight packing. The full feature hood, drop down tail and extra nylon ripstop shell provide further protections, helping to keep valuable body heat in.Features Packs into right interior zipper pocket for easy storage in unpredictable weather and doubles as a travel pillow Adjustable down-filled hood adds warmth and element protection Chin guard is lined with tricot fabric for softness and comfort Power Stretch® cuffs enhance fit and add comfort Hem is longer in the back for added coverage and protection. Interior drawcord customizes fit and traps heat towards the body Storm flap underneath 2-way zipper keeps the elements out. Unzip from the bottom for added range of motion or venting 3 exterior pockets: chest pocket, 2 lower pockets. All pockets have zipper closures 2 interior pockets: security pocket with zipper closure, mesh drop-in pocket",https://www.escapeoutdoors.com/canada-goose-men-s-lodge-hoody-black-label-updated/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4663/34051/5078MB-Coastal-Grey__11082.1762820189.png?c=1
6,Canada Goose,Canada Goose Men's Lodge Jacket - Updated,Men,825,USD,https://schema.org/OutOfStock,5079M-9222-2XS,"Combining a new matte finish with the features you know and love, the Canada Goose Men’s Lodge jacket is ready for the upcoming season. Warm and windproof, the Canada Goose Lodge Jacket is perfect for mild winter days or cooler spring and fall evenings. And due to its ability to be packed neatly into its own inner pocket, it is ideal for backcountry activities. Features Two hand pockets and one Napoleon chest pocket with zipper closures provide a place to safely store your belongings Down filled collar adjusts with a drawcord to seal out drafts Jacket can be packed into brushed tricot lined inner pocket to create a comfy pillow Internal stretch mesh pocket for easy-access storage Hip-length with a drop tail, and double layer windproof shell provide increased protection from the cold and wind Adjustable hem, when pulled in tight, seals out cold and wind Insulated front storm flap with a brushed tricot chin guard behind a two-way locking reversed coil zipper Brushed tricot at the back neck for increased warmth Centre back length: 28” (76.2cm)",https://www.escapeoutdoors.com/canada-goose-men-s-lodge-jacket-updated/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4150/50313/CG_057__13136.1764538479.jpg?c=1
7,Canada Goose,Canada Goose Men's Rupert Rain Jacket Black Label,Men,750,USD,https://schema.org/InStock,5633MB-1664-XS,"The Rupert Rain Jacket is a streamlined shell with flexibility — and 100% waterproof protection. Featuring an adjustable hood that is helmet-compatible, venting under the arms, and polished design details. Made with a new flexible three-layer fabric for breathable comfort and performance. Layer over our Crofton Jacket for added warmth on chilly days. Features Fully seam-sealed construction keeps rain out Fixed two-way adjustable hood with helmet compatibility Centre front zipper with windguard Underarm gussets Hook and loop adjustable cuffs with signature double-stripe reflective detail Scalloped cuffs with reflective edges Two exterior zippered pockets One interior security pocket",https://www.escapeoutdoors.com/canada-goose-men-s-rupert-rain-jacket-black-label/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/6088/41849/5633MB-Smokey-Sage__56966.1738931112.png?c=1
8,Canada Goose,Canada Goose Men's Wyndham Parka Black Label - Updated,Men,1395,USD,https://schema.org/OutOfStock,2048MB-200-2XS,"One of our most-loved styles, the Wyndham Parka, gets an update with streamlined hood details and elevated trims. This slim-fitting style maximizes warmth with a heavy-duty two-way zipper and soft ribbed knit cuffs to block cold air out. Customize your parka and extend the coverage of your hood with a variety of our interchangeable Hood Trim accessories.ORIGINMade in CanadaDISCBlackHOOD TRIMNo TrimFeatures Adjustable down-filled hood adds warmth and element protection Hood features a removable zipper guard for the option of changing your hood trim for a customized look and added protection (this jacket is not compatible with Heritage hood trims) Chin guard is lined with tricot fabric for softness and comfort Sleek interior hanging lining with backpack straps allow jacket to be carried hands-free over the shoulders Placket with snap closures over 2-way zipper keeps the elements out Storm flap underneath zipper adds a layer of protection Recessed rib-knit cuffs add comfort and lock in heat Sleeve cuffs reinforced with CORDURA® fabric for added durability in high-abrasion areas 4 exterior pockets: double-stacked fleece-lined hand warmer pockets with zipper closures 3 interior pockets: 1 security pocket with zipper closure, 2 mesh drop-in pockets.",https://www.escapeoutdoors.com/canada-goose-men-s-wyndham-parka-black-label-updated/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4669/34089/CG_003_e0a9ccb6-aedd-4e05-9f3e-73db23fc55b1__73077.1738878270.jpg?c=1
9,Canada Goose,Canada Goose Men's Wyndham Parka - Updated,Men,1395,USD,https://schema.org/InStock,2048M-432-S,"One of our most-loved styles, the Wyndham Parka, gets an update with streamlined hood details and elevated trims. This slim-fitting style maximizes warmth with a heavy-duty two-way zipper and soft ribbed knit cuffs to block cold air out. Customize your parka and extend the coverage of your hood with a variety of our interchangeable Hood Trim accessories.ORIGINMade in CanadaDISCClassicHOOD TRIMNo TrimFeatures Adjustable down-filled hood adds warmth and element protection Hood features a removable zipper guard for the option of changing your hood trim for a customized look and added protection (this jacket is not compatible with Heritage hood trims) Chin guard is lined with tricot fabric for softness and comfort Sleek interior hanging lining with backpack straps allow jacket to be carried hands-free over the shoulders Placket with snap closures over 2-way zipper keeps the elements out Storm flap underneath zipper adds a layer of protection Recessed rib-knit cuffs add comfort and lock in heat Sleeve cuffs reinforced with CORDURA® fabric for added durability in high-abrasion areas 4 exterior pockets: double-stacked fleece-lined hand warmer pockets with zipper closures 3 interior pockets: 1 security pocket with zipper closure, 2 mesh drop-in pockets",https://www.escapeoutdoors.com/canada-goose-men-s-wyndham-parka-updated/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/5148/36903/2048M-432-Limestone__27189.1738910324.png?c=1
10,Canada Goose,Canada Goose Men's Amherst Hoody Black Label,Men,375,USD,https://schema.org/OutOfStock,7000MB-61-S,"Made with Merino Wool and reinforced with CORDURA® fabric in high-abrasion areas, the Amherst Hoody has a breathable open-knit construction. It has an exterior kangaroo pocket and rib-knit cuffs for shape retention.Features Thermal Mapping® technology increases breathability at the upper back, underarms and side body Durability Mapping: High-abrasion areas are reinforced with CORDURA® fabric for added durability Adjustable hood with drawcords Signature double stripe reflective on back of hood Midweight Merino Wool hoody Rib-knit hem and cuffs provide tailored fit 1 kangaroo pocket Finished with embroidered Canada Goose Disc",https://www.escapeoutdoors.com/canada-goose-mens-amherst-hoody-black-label/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4856/35159/7000MB-61-Black__50546.1738900412.png?c=1
11,Canada Goose,Canada Goose Men's Amherst Hoody,Men,375,USD,https://schema.org/InStock,7000M-699-XS,"Throw on the Canada Goose men’s Amherst hoody as you're heading to morning practice, or just while lounging at home. It has a classic hoodie look and feel, reinforced with Cordura® fabric at high-abrasion areas, and a breathable open-knit construction in areas prone to overheating. Features Fabric: Merino Wool Adjustable hood Reflective detail at back hood Cordura® at shoulders and elbow patches Ribbed knit cuffs and hem Kangaroo pocket Classic Disc logo patch at upper left sleeve Hip length | Regular fit",https://www.escapeoutdoors.com/canada-goose-mens-amherst-hoody/,https://cdn11.bigcommerce.com/s-gwewfpbggc/images/stencil/1280x1280/products/4390/32508/Canada-Goose-Mens-Amherst-Hoody-Iron-Grey__02736.1746748189.png?c=1
